question,expected_answer,ground_truth_sources,rag_answer,score,reasoning,citation_score,citation_reasoning,contexts,index
"in patients with restrictive lung disease, what is a reasonable inpiratory to expiratory ratio (I:E)?",1:1 up to 2:1,step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],27
"when reinflating the lungs post OLV, what is the recommended method to do this?",unilateral re-expansion is recommended to target pressure to the atelectatic operative lung.  Minimize recruitment pressure to 20 cm H2O with lung resection and avoid pressure spikes. in addition lower FiO2 is recommended to reduce the chance of ischemic reperfusion injury,step by step management of onelung ventilation CJA 2014.md,Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],28
how much fluid rescucitation is recommend in sepsis induced hypoperfusion or septic shock and in what timeline,30 ml/kg of IV crystalloid fluid should be given within the first 3 hours of resuscitation,2021 Surviving Sepsis Guidelines.md,"Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",[],29
"for adults suspected of having sepsis, is lactate measurement recommended?","yes, it is recommended to measure blood lactate levels",2021 Surviving Sepsis Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],30
"for adults with septic shock on vasopressors, what is the recommended initial target for mean arterial pressure (MAP)",The initial recommended target MAP is 65 mm Hg,2021 Surviving Sepsis Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],31
"In adults with possible septic shock or a high likelihood for sepsis, what is the recommended treatment and in what timeline ",antimicrobials are the recommended treatment ideally within 1 hour of recognition,2021 Surviving Sepsis Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],32
for adults with sepsis or septic shock at high risk of MRSA what is the recommended antimicrobial treatment,empiric broad spectrum therapy with one or more antimicrobials for patients presenting with sepsis or septic shock to cover all likely pathogens.,2021 Surviving Sepsis Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],33
are gelatins recommended for sepsis and septic shock?,gelatins are best avoided in patients with sepsis and septic shock,2021 Surviving Sepsis Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],34
what is the first-line recommended vasopressor in septic shock,norepinephrine,2021 Surviving Sepsis Guidelines.md,"Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",[],35
"for adults with septic shock on norepinephrine with inadequte mean arterial pressure levels, what is the suggested second drug to add",vasopressin the the recommended second drug to add ,2021 Surviving Sepsis Guidelines.md,Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],36
what are the recommended drugs for patients with septic shock and cardiac dysfunction with persistent hypoperfusion despite adequate volume status and arterial blood pressure what is the suggested management?,add dobutamin to norepinephrine or use epinephrine alone,2021 Surviving Sepsis Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],37
what tidal volumes are recommended for adults with sepsis-induced ARDS?,a low tidal volume ventilation strategy (6ml/kg) is recommended over >10ml/kg,2021 Surviving Sepsis Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],38
"for sepsis-induced moderate to severe ARDS, is it recommended to use prone ventilation?","Yes, prone ventilation is recommended for greater than 12 hours daily.",2021 Surviving Sepsis Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],39
are steroids recommended for adults with septic shock and ongoing requirements for vasopressor therapy?,"yes, IV corticosteroids are recommended in this scenario",2021 Surviving Sepsis Guidelines.md,Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],40
is it recommended to treat hyperglycermia in adults with sepsis or septic shock?,"yes, insulin therapy should be initiated a glucose level of more than 180 mg/dl or 10 mmol/Liter",2021 Surviving Sepsis Guidelines.md,"Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",[],41
is sodium bicarbonate therapy recommended in sepsis?,"yes, in adults with septic shock and hypoperfusion induced lactic acidemia, sodium bicarbonate can be used to improve hemodynamics or to reduce vasopressor requirements",2021 Surviving Sepsis Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],42
should patients with a recent myocardial infarction wait before undergoing noncardiac surgery?,"Yes, patients with recent myocardial infarction should wait at least 60 days before elective noncardiac surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],43
is preoperative echocardiography recommended for patients with suspected moderate or severe valvular disease?,"Yes, echocardiography is recommended for patients with suspected moderate or greater valvular stenosis or regurgitation.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,"Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",[],44
are perioperative beta-blockers recommended in patients already on chronic therapy?,"Yes, beta-blockers should be continued in patients already on chronic therapy.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],45
should statin therapy be continued perioperatively in patients undergoing noncardiac surgery?,"Yes, statin therapy should be continued in the perioperative period.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,"Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",[],46
is preoperative coronary revascularization recommended solely to reduce perioperative risk?,"No, coronary revascularization should not be performed solely to reduce perioperative cardiac risk.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],47
should patients with stable heart failure undergo additional preoperative evaluation before noncardiac surgery?,"Yes, patients with stable heart failure should undergo evaluation and optimization before surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],48
is exercise stress testing recommended for asymptomatic patients undergoing low-risk noncardiac surgery?,"No, routine stress testing is not recommended for asymptomatic patients undergoing low-risk surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],49
should patients with atrial fibrillation continue anticoagulation therapy during the perioperative period?,"Yes, anticoagulation should generally be continued or bridged, depending on thromboembolic risk.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],50
is it recommended to measure preoperative natriuretic peptides in high-risk patients undergoing vascular surgery?,"Yes, measurement of natriuretic peptides may be useful in high-risk vascular surgery patients.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,"Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",[],51
should noninvasive pharmacologic stress testing be performed in patients with poor functional capacity undergoing elevated-risk surgery?,"Yes, pharmacologic stress testing is reasonable in patients with poor functional capacity facing elevated-risk surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,"Based on the provided context from the 2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery, noninvasive pharmacologic stress testing should be performed in patients with poor functional capacity (<4 METs) undergoing elevated-risk surgery if it will change management. **Recommendation:** Class IIa: It is reasonable for patients who are at an elevated risk for noncardiac surgery and have poor functional capacity (<4 METs) to undergo noninvasive pharmacological stress testing (either dobutamine stress echocardiogram [DSE] or pharmacological stress MPI) if it will change management. [Source: 2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md] **Justification:** * Patients with poor functional capacity (<4 METs) are at increased risk for perioperative cardiovascular events. [Source: 2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md]
* Noninvasive pharmacological stress testing can detect stress-induced myocardial ischemia and CAD in patients who cannot perform exercise. [Source: 2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md]
* The presence of moderate to large areas of myocardial ischemia is associated with increased risk of perioperative MI and/or death. [Source: 2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md]
* A normal study for perioperative MI and/or cardiac death has a very high negative predictive value. [Source: 2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md] **Sources:** * 2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md
* Bateman BT, et al., 2009 (6) 19194149
* Online Data Supplement 11 for additional information on exercise stress testing for myocardial ischemia and functional capacity. **Patient Safety Considerations:** * Patients with poor functional capacity (<4 METs) are at increased risk for perioperative cardiovascular events.
* Noninvasive pharmacological stress testing should be performed in patients with poor functional capacity (<4 METs) undergoing elevated-risk surgery if it will change management. **Contraindications and Warnings:** * Routine screening with noninvasive stress testing is not useful for patients undergoing low-risk noncardiac surgery. [Source: 2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md] **Clinical Recommendations:** * Patients with poor functional capacity (<4 METs) undergoing elevated-risk surgery should undergo noninvasive pharmacological stress testing if it will change management.
* A normal study for perioperative MI and/or cardiac death has a very high negative predictive value.",4,"The RAG model's answer is fully correct and complete, accurately summarizing the 2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery and providing relevant information to support its recommendation.",4,"All retrieved contexts are highly relevant to the question, providing sufficient information to answer it. The contexts are from the expected source (2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md) and cover the topic of noninvasive pharmacologic stress testing in patients with poor functional capacity undergoing elevated-risk surgery. There are no missing contexts or irrelevant contexts.","[{""content"": ""3). Step 5: If the patient is at elevated risk of MACE, then determine functional capacity with an objective measure or scale such as the DASI. 133 If the patient has moderate, good, or excellent functional capacity ( \u2265 4 METs), then proceed to surgery without further evaluation (Section 4.1). Step 6: If the patient has poor (<4 METs) or unknown functional capacity, then the clinician should consult with the patient and perioperative team to determine whether further testing will impact patient decision making (eg, decision to perform original surgery or willingness to undergo CABG or PCI, depending on the results of the test) or perioperative care. If yes, then pharmacological stress testing is appropriate. In those patients with unknown functional capacity, exercise stress testing may be reasonable to perform. If the stress test is abnormal, consider coronary angiography and revascularization depending on the extent of the abnormal test. The patient can then proceed to surgery with GDMT or consider alternative strategies, such as noninvasive treatment of the indication for surgery (eg, radiation therapy for cancer) or palliation. If the test is normal, proceed to surgery according to GDMT (Section 5.3). Step 7: If testing will not impact decision making or care, then proceed to surgery according to GDMT or consider alternative strategies, such as noninvasive treatment of the indication for surgery (eg, radiation therapy for cancer) or palliation. ACS indicates acute coronary syndrome; CABG, coronary artery bypass graft; CAD, coronary artery disease; CPG, clinical practice guideline; DASI, Duke Activity Status Index; GDMT, guideline-directed medical therapy; HF, heart failure; MACE, major adverse cardiac event; MET, metabolic equivalent; NB, No Benefit; NSQIP, National Surgical Quality Improvement Program; PCI, percutaneous coronary intervention; RCRI, Revised Cardiac Risk Index; STEMI, ST-elevation myocardial infarction; UA/NSTEMI, unstable"", ""source"": ""2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md"", ""page"": null, ""chunk_id"": ""07d1f97c-e5c4-46d6-be63-526aca8b877c""}, {""content"": ""This table summarizes the findings of a study on noninvasive cardiac stress testing before elective surgery. Key outcomes include mortality and hospital length of stay (LOS) associated with stress testing.\n\nmarkdown | Study Name | Author | Year | Aim of Study | Study Type | Study Size (N) | Study Intervention Group (n) | Study Comparator Group (n) | Patient Population | Study Intervention | Study Comparator | Endpoints | P Values, OR: HR: RR & 95% CI: | Study Limitations & Adverse Events | |----------------------------------|-----------------------|------|------------------------------------------------------------------------------|-----------------------------------|--------------------------------------------------|-------------------------------|----------------------------|-------------------------------------------------------------|-------------------|------------------|---------------------------------------------------------------------------|----------------------------------|--------------------------------------------------------------------------------------------------------------------------| | Bateman BT, et al., 2009 (6) 19194149 | To conduct an analysis of AIS to determine incidence, risk factors, and effect of outcome on periop AIS in | Secondary analysis of NIS database | n=131,067 hemicolectomy surgical pts; n=201,235 total hip replacement surgical pts; n=39,339 | N/A | N/A | Common noncardiac surgeries: hemicolectomy, total hip replacements, and segmental/ lobar lung | N/A | N/A | N/A | AIS incidence: hemicolectomy 935 cases- 0.7% (95% CI: 0.7%-0.8%); total hip replacement 420 cases- | N/A | 1. Higher incidence of AIS among pts \u226565 y of age. 2. Higher incidence of AIS among 1. Among pts >65 y of age, AIS incidence: hemicolectomy 1.0% (95% CI: 0.9%-1.0%); total hip replacement | Limited by range of variables that could be explored as risk factors for AIS. Use of database may |"", ""source"": ""2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md"", ""page"": null, ""chunk_id"": ""9858462a-8c3f-4636-b94d-e01f05c9c7f7""}, {""content"": ""Class III: No Benefit\n\nRoutine screening with noninvasive stress testing is not useful for patients at low risk for noncardiac surgery. 165,166 (Level of Evidence: B)\n\nSeveral studies have examined the role of exercise testing to identify patients at risk for perioperative complications. 162-164,167-170 Almost all of these studies were conducted in patients undergoing peripheral vascular surgery, because these patients are generally considered to be at the highest risk. 162,164,167-169 Although they were important contributions at the time, the outcomes in most of these studies are not reflective of contemporary perioperative event rates, nor was the patient management consistent with current standards of preventive and perioperative cardiac care. Furthermore, many used stress protocols that are not commonly used today, such as non-Bruce protocol treadmill tests or arm ergometry. However, from the available data, patients able to achieve approximately 7 METs to 10 METs have a low risk of perioperative cardiovascular events, 162,164 and those achieving <4 METs to 5 METs have an increased risk of perioperative cardiovascular events. 163,164 Electrocardiographic changes with exercise are not as predictive. 162-164,169\n\nThe vast majority of data on the impact of inducible myocardial ischemia on perioperative outcomes are based on pharmacological stress testing (Sections 5.5.1-5.5.3), but it seems reasonable that exercise stress echocardiography or radionuclide myocardial perfusion imaging (MPI) would perform similarly to pharmacological stress testing in patients who are able to exercise adequately.\n\nSee Online Data Supplement 11 for additional information on exercise stress testing for myocardial ischemia and functional capacity.\n\n5.4. Cardiopulmonary Exercise Testing: Recommendation\n\nClass IIb\n\nCardiopulmonary exercise testing may be considered for patients undergoing elevated risk procedures in"", ""source"": ""2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md"", ""page"": null, ""chunk_id"": ""9494528c-2829-49b4-ba17-d82793261de5""}, {""content"": ""See Online Data Supplement 12 for additional information on cardiopulmonary exercise testing.\n\n5.5. Pharmacological Stress Testing\n\n5.5.1. Noninvasive Pharmacological Stress Testing Before Noncardiac Surgery: Recommendations\n\nClass IIa\n\nIt is reasonable for patients who are at an elevated risk for noncardiac surgery and have poor functional capacity (<4 METs) to undergo noninvasive pharmacological stress testing (either dobutamine stress echocardiogram [DSE] or pharmacological stress MPI) if it will change management. 183-187 (Level of Evidence: B)\n\nClass III: No Benefit\n\nRoutine screening with noninvasive stress testing is not useful for patients undergoing low-risk noncardiac surgery. 165,166 (Level of Evidence: B)\n\nPharmacological stress testing with DSE, dipyridamole/ adenosine/regadenoson MPI with thallium-201, and/or technetium-99m and rubidium-82 can be used in patients undergoing noncardiac surgery who cannot perform exercise to detect stress-induced myocardial ischemia and CAD. At the time of GWC deliberations, publications in this area confirmed findings of previous studies rather than providing new insight as to the optimal noninvasive pharmacological preoperative stress testing strategy. \u2020\n\nDespite the lack of RCTs on the use of preoperative stress testing, a large number of single-site studies using either DSE or MPI have shown consistent findings. These findings can be summarized as follows:\n\nThe presence of moderate to large areas of myocardial ischemia is associated with increased risk of perioperative MI and/or death.\n\nA normal study for perioperative MI and/or cardiac death has a very high negative predictive value.\n\nThe presence of an old MI identified on rest imaging is of little predictive value for perioperative MI or cardiac death.\n\nSeveral meta-analyses have shown the clinical utility of pharmacological stress testing in the preoperative evaluation of patients undergoing noncardiac surgery."", ""source"": ""2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md"", ""page"": null, ""chunk_id"": ""e2f754c5-8c5d-44f0-a517-6e54640bb326""}]",52
is perioperative initiation of alpha-2 agonists recommended to reduce cardiac risk?,"No, initiation of alpha-2 agonists is not recommended to reduce perioperative cardiac risk.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],53
should calcium channel blockers be continued in patients already receiving them before surgery?,"Yes, calcium channel blockers should be continued perioperatively in patients already taking them.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],54
is it recommended to use volatile anesthetics for maintenance in patients undergoing noncardiac surgery?,"Yes, volatile anesthetics can be used for maintenance in noncardiac surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],55
should aspirin be continued in patients with prior coronary stents undergoing noncardiac surgery?,"Yes, aspirin should generally be continued in patients with prior coronary stents.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Missing field: [Missing metadata segment],1,RAG Error: Error getting collection: Missing field: [Missing metadata segment],1,RAG Error: Error getting collection: Missing field: [Missing metadata segment],[],56
is it recommended to perform routine preoperative coronary angiography in patients undergoing noncardiac surgery?,"No, routine preoperative coronary angiography is not recommended before noncardiac surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],57
should patients with reduced left ventricular ejection fraction be considered at higher perioperative risk?,"Yes, patients with reduced left ventricular ejection fraction are at increased perioperative risk.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],58
should perioperative statin therapy be initiated in vascular surgery patients not already on treatment?,"Yes, initiating statin therapy is reasonable in vascular surgery patients not already receiving it.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,"Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",[],59
is it recommended to withhold angiotensin-converting enzyme inhibitors before noncardiac surgery?,"Yes, withholding ACE inhibitors before surgery may reduce intraoperative hypotension.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],60
is monitoring with a pulmonary artery catheter routinely recommended for noncardiac surgery?,"No, routine pulmonary artery catheter monitoring is not recommended for noncardiac surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],61
should perioperative pain management strategies be individualized to minimize hemodynamic stress?,"Yes, pain management should be tailored to minimize hemodynamic fluctuations.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,"Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",[],62
