question,expected_answer,ground_truth_sources,rag_answer,score,reasoning,citation_score,citation_reasoning,contexts,index
should perioperative statin therapy be initiated in vascular surgery patients not already on treatment?,"Yes, initiating statin therapy is reasonable in vascular surgery patients not already receiving it.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],59
is it recommended to withhold angiotensin-converting enzyme inhibitors before noncardiac surgery?,"Yes, withholding ACE inhibitors before surgery may reduce intraoperative hypotension.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],60
is monitoring with a pulmonary artery catheter routinely recommended for noncardiac surgery?,"No, routine pulmonary artery catheter monitoring is not recommended for noncardiac surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error executing plan: Error sending backfill request to compactor: Failed to apply logs to the metadata segment,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Failed to apply logs to the metadata segment,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Failed to apply logs to the metadata segment,[],61
should perioperative pain management strategies be individualized to minimize hemodynamic stress?,"Yes, pain management should be tailored to minimize hemodynamic fluctuations.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],62
is perioperative nitroglycerin prophylaxis recommended to reduce cardiac complications?,"No, prophylactic perioperative nitroglycerin is not recommended to reduce complications.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],63
should patients with asymptomatic left ventricular dysfunction undergo preoperative echocardiography?,"No, routine echocardiography is not indicated in asymptomatic patients with LV dysfunction unless results would change management.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],64
is routine 12-lead electrocardiography recommended for asymptomatic patients undergoing low-risk surgery?,"No, routine ECG is not recommended for asymptomatic patients undergoing low-risk procedures.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],65
Should patients with ACHD AP classification IIB–D or IIIA–D be managed in collaboration with an ACHD cardiologist?,"Yes, patients with ACHD of moderate or great complexity (AP classification IIB–D or IIIA–D) should be managed in collaboration with an ACHD cardiologist.",2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],66
Should cardiac surgery and interventional procedures in ACHD patients be performed by general cardiologists?,"No, such procedures should be performed by operators with expertise in congenital heart disease, in collaboration with an ACHD cardiologist.",2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],67
Is routine echocardiography recommended for all adults with repaired atrial septal defect without symptoms or residual shunt?,"No, routine echocardiography is not indicated in asymptomatic patients with repaired ASD without residual shunt or chamber enlargement.",2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],68
Should patients with repaired tetralogy of Fallot undergo periodic imaging with cardiac MRI?,"Yes, periodic imaging with cardiac MRI is recommended in repaired tetralogy of Fallot to assess right ventricular size and function.",2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],69
Is antibiotic prophylaxis recommended for all ACHD patients to prevent infective endocarditis?,"No, antibiotic prophylaxis is not recommended for all ACHD patients, but is reserved for those with the highest risk of infective endocarditis.",2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],70
Should women with ACHD considering pregnancy receive preconception counseling in a specialized ACHD center?,"Yes, women with ACHD should undergo preconception counseling and risk assessment in a specialized ACHD center before pregnancy.",2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],71
Is routine 12-lead electrocardiography recommended for asymptomatic ACHD patients without new symptoms?,"No, routine ECG is not recommended unless new symptoms, arrhythmias, or hemodynamic concerns arise.",2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],72
Should adults with coarctation of the aorta undergo periodic imaging of the thoracic aorta?,"Yes, periodic imaging of the thoracic aorta is recommended in adults with repaired or unrepaired coarctation of the aorta.",2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],73
Should exercise testing be performed in ACHD patients with unexplained symptoms or reduced exercise tolerance?,"Yes, exercise testing is recommended in ACHD patients with unexplained symptoms or reduced exercise capacity.",2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],74
Is pregnancy contraindicated in women with Eisenmenger syndrome?,"Yes, pregnancy is contraindicated in women with Eisenmenger syndrome due to high maternal and fetal risk.",2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],75
Should all patients have their haemoglobin concentration measured before major elective surgery?,"Yes, all patients should have haemoglobin checked prior to major elective surgery.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],76
Should alternatives to transfusion be discussed with patients before surgery where transfusion is anticipated?,"Yes, alternatives to transfusion should be discussed and documented before surgery.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],77
How should peri-operative anticoagulants be managed?,They should be managed to balance the risk of bleeding with the risk of thrombosis.,Blood components updated V2 final.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],78
Is tranexamic acid recommended in patients at risk of blood loss greater than 500ml?,"Yes, tranexamic acid is recommended in patients where significant blood loss is possible.",Blood components updated V2 final.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],79
Should blood sampling be managed carefully to minimise iatrogenic anaemia?,"Yes, iatrogenic anaemia should be minimised through appropriate blood sampling.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],80
Should obstetric bleeding be measured cumulatively?,"Yes, obstetric bleeding should be measured cumulatively with a clear escalation plan.",Blood components updated V2 final.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],81
Should every institution have a major haemorrhage protocol?,"Yes, every institution must have a regularly audited major haemorrhage protocol.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],82
Should group O red blood cells be available for immediate transfusion in life-threatening haemorrhage?,"Yes, group O RBCs should be readily available in life-threatening haemorrhage.",Blood components updated V2 final.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],83
Should crystalloids be used routinely during major trauma haemorrhage?,"No, crystalloids should be avoided unless profound hypotension and no imminent blood available.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],84
Should children receive blood components prescribed in units?,"No, children should receive blood components prescribed as volume (ml/kg).",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],85
What is the recommended transfusion threshold for FFP in major haemorrhage?,FFP is recommended if INR > 1.5.,Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],86
When should cryoprecipitate be given?,Cryoprecipitate should be given if fibrinogen < 1.5 g/L (< 2 g/L in obstetrics).,Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],87
What platelet threshold is recommended in obstetric haemorrhage?,Platelet transfusion should be given if platelet count is < 75 × 10⁹/L in obstetrics.,Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],88
Is restrictive transfusion strategy (Hb 70–80 g/L) safe?,"Yes, restrictive transfusion is safe and reduces unnecessary transfusions in stable patients.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],89
Should single-unit RBC transfusions be used in stable adults?,"Yes, single-unit transfusions are recommended in stable adults without active bleeding.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],90
Is prophylactic FFP recommended before low-risk invasive procedures?,"No, prophylactic FFP is not recommended for correcting abnormal coagulation before low-risk procedures.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],91
Should prophylactic FFP be used in elective cardiac surgery?,"No, prophylactic FFP use is not recommended in elective cardiac surgery.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],92
Is cryoprecipitate the first-line therapy for fibrinogen replacement?,"Yes, cryoprecipitate is the standard concentrated source of fibrinogen.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],93
Is fibrinogen concentrate superior to cryoprecipitate?,"No, fibrinogen concentrate is not proven superior but may be non-inferior in cardiac surgery bleeding.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],94
Are platelet transfusions recommended before central venous catheter insertion?,"Yes, if platelet count is below 20 × 10⁹/L.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],95
What platelet count is required before lumbar puncture?,At least 40 × 10⁹/L before lumbar puncture.,Blood components updated V2 final.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],96
What platelet threshold is recommended for neurosurgery?,A platelet count of at least 100 × 10⁹/L is recommended for neurosurgery.,Blood components updated V2 final.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Missing field: [Missing metadata segment],1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Missing field: [Missing metadata segment],1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Missing field: [Missing metadata segment],[],97
Is PCC recommended for rapid reversal of warfarin in major bleeding?,"Yes, PCC is indicated for rapid reversal of warfarin in life-threatening bleeding.",Blood components updated V2 final.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],98
Should vitamin K be co-administered with PCC?,"Yes, 5–10mg intravenous vitamin K should be given with PCC to maintain correction.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],99
Is prehospital tranexamic acid beneficial within 3 hours of trauma?,"Yes, tranexamic acid within 3 hours reduces mortality in bleeding trauma patients.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],100
Should crystalloids be given during uncontrolled haemorrhage?,"No, crystalloids should be avoided unless no blood products are available.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],101
What is the recommended restrictive transfusion threshold in ICU patients?,Hb < 70 g/L is recommended in most critically ill patients.,Blood components updated V2 final.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],102
Is routine iron or erythropoietin therapy recommended in ICU anaemia?,"No, routine use of iron or erythropoietin is not recommended for ICU patients.",Blood components updated V2 final.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],103
When should cell salvage be used in obstetric haemorrhage?,Cell salvage is recommended during caesarean section with abnormal bleeding.,Blood components updated V2 final.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],104
what drugs are used to treat myocardial ischemia,"Antiplatelet drugs, nitrates, β-blockers, calcium channel blockers, and ACE inhibitors are used in the medical treatment of angina pectoris",01_Stoelting.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],105
when are nitrates contraindicated,"they are contraindicated in the presence of hypertrophic cardiomyopathy or severe aortic stenosis and should not be used within 24 hours of sildenafil, tadalafil, or vardenafil because of possible severe hypotension",01_Stoelting.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],106
what is the mortality rate of patients with STEMI who undergo aggressive reperfusion versus those that don't,with aggressive reperfusion the mortality is 6.5% and without from between 15 - 20%,01_Stoelting.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],107
when should beta (β) blockers be avoided in the setting of an MI,"they should not be given to patients in heart failure, who are in a low cardiac output state, or at risk of cardiomyopathy",01_Stoelting.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],108
what are some common complication that occurs after MI,"acute pericarditis can occur 1 to 4 days after an MI in 10-15% of patients, also Mitral regurgitation, ventricular septal rupture, cardiac dysrhythmias, CHF, cardiogenic shock , acute myocardial rupture, ischemic or hemmorhagic stroke",01_Stoelting.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],109
how long do you need to wait for elective surgery after bare metal stent placement,"at least 6 weeks, 12 weeks preferable",01_Stoelting.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],110
how long should dual antiplatelet therapy be continued after a drug-eluting stent,1 year with drug eluting stents,01_Stoelting.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],111
how long do you need to wait after stopping clopidogrel before performing a neuraxial technique?,7 days,01_Stoelting.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],112
how long do you need to wait to have elective surgery after an MI,You need to wait 30 days,01_Stoelting.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],113
what are the cardiac risk factors in patients undergoing elective major noncardiac surgery,"High risk surgery, ischemic heart disease, congestive heart failure (CHF), cerebrovascular disease, Insulin dependant diabetes, preoperative serum Cr of >2mg/dL",01_Stoelting.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],114
what is the risk of stroke in patients with both mitral stenosis and atrial fibrillation?,7 - 15% per year,02_Stoelting.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],115
what are intraoperative events that have a significant impact on mitral stenosis,"sinus tachycardia or afib with a rapid ventricular repsonse, overtransfusion or head-down positioning, drug-induced decreased SVR, hypoxemia or hypercarbia that may exacerbate pulmonary hypertension or cause right ventricular heart failure",02_Stoelting.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],116
what are anesthetic considerations for patients with mitral regurgitation,"prevent bradycardia, prevent increases in systemic vascular resistance, minimize drug induced myocardial depression, and ",02_Stoelting.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],117
what are anesthetic considerations for patients with aortic stenosis,"maintain normal sinus rhythm, avoid bradycardia or tachycardia, avoid hypotension, optimize intravascular volume",02_Stoelting.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],118
what are anesthetic considerations for patients with aortic regurgitation,"avoid bradycardia, avoid increases in systemic vascular resistance, minimize myocardial depression",02_Stoelting.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],119
is mitral valve prolapse usual a concern?,"no, it's the most common form of valvular heart disease affecting 1-2.5% of the US population. It's usually benign.",02_Stoelting.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],120
